OBJECTID,GlobalID,last_edited_date,id,short_name,long_name,direction,rte_type,rte_color,agency_id,agency_nam,gen_date,end_date
5473,{A7532BD1-2264-4DFD-AD49-5CF98BFDEC25},2023/03/28 18:27:07+00,,20,Beaver Ruin - Doraville,,bus,,GCT,Gwinnett County Transit,,
5474,{A765EFB3-B728-4DEC-A915-0C6AFBA496CF},2023/03/28 18:27:07+00,,856,Baker Hills / Wilson Mill Meadows,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5475,{AAB72EB5-28F6-46AC-B0C8-9B5D3893C39B},2023/03/28 18:27:07+00,,47,I-85 Access Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5476,{AB8AEADD-6D0E-44C6-AD46-D8BC5799B360},2023/03/28 18:27:07+00,,51,Joseph E Boone Boulevard,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5477,{ABCEC24E-4E06-4634-A362-B3CDCB763086},2023/03/28 18:29:32+00,,432,BrandsMart/Stockbridge - DT,,bus,,SRTA,SRTA,,
5478,{AC06F868-B4FC-42F3-808D-8945538CF13D},2023/03/28 18:27:07+00,,101,I-985 P&R - Downtown Atlanta,,bus,,GCT,Gwinnett County Transit,,
5479,{AC4DBB76-5F1D-44C7-99A9-8B1DE0B7A7FA},2023/03/28 18:27:07+00,,800,Lovejoy,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5480,{AC808A22-26EC-4F40-9D0C-A2512E3D10B6},2023/03/28 18:27:07+00,,4,Moreland Avenue,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5481,{AEF141FB-7922-44F8-9BC1-BFCD6A8D6EAF},2023/03/28 18:27:07+00,,2,Ponce De Leon Avenue / Druid Hills,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5482,{B014077E-5D51-4DF7-88F4-CA5AD9759D54},2023/03/28 18:27:07+00,,27,Cheshire Bridge Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5483,{B01F3BAA-4F11-4857-AAC5-DC812EAEA9BB},2023/03/28 18:27:07+00,,183,Greenbriar,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5484,{B03563AC-F603-4DE2-9259-CB85B4913AB0},2023/03/28 18:27:07+00,,74,Flat Shoals Road,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5485,{B23FAC57-602C-428C-9210-904768343522},2023/03/28 18:27:07+00,,21,Memorial Drive,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5486,{B5FBF387-A3D4-4BFE-8DAB-3176AD0C8D70},2023/03/28 18:27:07+00,,100,Civic Center Station/Busbee P&R,,bus,,COBBLINC,CobbLinc,,
5487,{BE8E1846-56E1-4E49-B7F7-B49A6737B1D5},2023/03/28 18:27:07+00,,95,Metropolitan Parkway,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5488,{C0208506-F7C4-4603-ACBE-AA5C78D18D7B},2023/03/28 18:27:07+00,,111,Snapfinger Woods,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5489,{C2093395-FEF7-4950-94E4-AC48EB61991D},2023/03/28 18:27:07+00,,196,Upper Riverdale,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5490,{C32F10ED-EB5B-4EEF-BD01-9A5A16A7B2C6},2023/03/28 18:27:07+00,,Zone 3,Downtown Austell,,bus,,COBBLINC_FLEX,CobblincFlex,,
5491,{C36C7610-2CC6-4938-8F09-918BDE54945E},2023/03/28 18:27:07+00,,40,Peachtree Street / Downtown,,bus,,MARTA,Metropolitan Atlanta Rapid Transit Authority,,
5492,{C3924CD5-96AC-4734-9703-3C09D9A17A65},2023/03/28 18:29:32+00,,484,Hickory Grove  - Midtown,,bus,,SRTA,SRTA,,
5493,{C690CEC0-4E3C-4BA0-8601-3D60E530BFCD},2023/03/28 18:27:07+00,,20,CTC - MTC via S. Cobb Drive,,bus,,COBBLINC,CobbLinc,,
